,artist_uri,genres,popularity,followers
260,spotify:artist:716NhGYqD1jl2wI1Qkgq36,"['argentine hip hop', 'pop venezolano', 'trap argentino']",86,7449300
261,spotify:artist:2Htm0q72SjGSmsy8EOIhRG,"['cumbia santafesina', 'cumbia villera']",65,1558999
262,spotify:artist:3o42Mj5a6vwbelxOjuWq9e,[],29,1245
263,spotify:artist:2Htm0q72SjGSmsy8EOIhRG,"['cumbia santafesina', 'cumbia villera']",65,1558999
264,spotify:artist:6wAk3K9nxqR0pTLGLctzQu,['cumbia villera'],49,109547
265,spotify:artist:09jut908wvFm55SqnO4DN3,[],35,14032
266,spotify:artist:716NhGYqD1jl2wI1Qkgq36,"['argentine hip hop', 'pop venezolano', 'trap argentino']",86,7449300
267,spotify:artist:6uoCxvVS2fLjOaxa2AwA09,[],30,1801
268,spotify:artist:2rc78XDH9zuJP6bm78lU8Z,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'symphonic rock']",59,596232
269,spotify:artist:6GSJbZPnvTKjFb9smrirt6,[],15,83
270,spotify:artist:4ObfuflhB2SBr5rxekhV6P,['ye ye'],38,15540
271,spotify:artist:2hgP9Ap2tc10R5jrQaEpMT,['chanson'],62,1070685
272,spotify:artist:5C2ILE4DWY1vzn1NPxJOag,"['classic soundtrack', 'french soundtrack', 'soundtrack']",40,17452
273,spotify:artist:6bebPrkEPr2xEkiHP3QkNT,"['francoton', 'french pop']",51,412798
274,spotify:artist:0oE1QxknblYdWQt51QjyrG,"['broadway', 'show tunes']",31,2302
275,spotify:artist:3i3ZiJGsP5tkz69ad7Mbie,[],32,9482
276,spotify:artist:7jgnJBnpZTiGnCF2Wvka2Z,"['chanson', 'francoton', 'french pop']",53,524245
277,spotify:artist:0hkFv9719WLJ2uupZTn0ru,"['folklore boliviano', 'musica andina']",42,66807
278,spotify:artist:43JZjapoSHGJCjXhPdKRZb,"['folclore jujeno', 'folklore nuevo argentino']",27,3417
279,spotify:artist:2Sz8EIKuYbqFcWxUmlT0Fp,[],27,228
280,spotify:artist:1oXtLNYfNMQLxWsatCTCCn,"['chanson', 'french pop']",53,280115
281,spotify:artist:0VR2A5qds1d6HNhhCJ7HiI,[],10,89
282,spotify:artist:4S9EykWXhStSc15wEx8QFK,['canadian pop'],74,6657621
283,spotify:artist:0oW7WNHDC1tqLU3urqLKbC,[],48,12898
284,spotify:artist:54dMUKYehjDTa4QPHikdy1,[],35,489
285,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90,24873496
286,spotify:artist:3iMzbvXlgNUpoFccD60bvr,"['eurodance', 'italo dance']",67,82580
287,spotify:artist:25sJFKMqDENdsTF7zRXoif,"['edm', 'german dance', 'pop dance', 'pop house']",66,104461
288,spotify:artist:6QMABvTzixnxzsLYyhqRxI,"['house', 'pop dance', 'tropical house', 'uk dance']",65,46472
289,spotify:artist:1qto4hHid1P71emI6Fd8xi,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']",78,6508474
290,spotify:artist:0lLZuPpTtNi5DxZ9QhiReO,['cumbia villera'],38,18657
291,spotify:artist:6OWapcJm9xd55ci9CYbAuT,['roots rock'],58,131077
